,sex,whole_weight,rings
3734,M,1.167,10
3735,M,1.0375,9
3736,M,1.223,10
3737,M,1.124,9
3738,F,1.2635,9
3739,F,1.238,9
3740,F,1.4045,11
3741,F,1.37,12
3742,F,1.8185,13
3743,F,1.7525,12
3744,I,0.101,5
3745,I,0.106,5
3746,I,0.1865,7
3747,I,0.2575,6
3748,I,0.3225,6
3749,I,0.32,7
3750,I,0.4155,8
3751,I,0.3935,7
3752,I,0.4775,8
3753,I,0.452,8
3754,I,0.5065,8
3755,I,0.5525,8
3756,I,0.565,9
3757,I,0.699,10
3758,I,0.6055,9
3759,M,0.7905,9
3760,M,0.702,9
3761,M,0.675,10
3762,I,0.475,8
3763,I,0.612,11
3764,I,0.705,10
3765,I,0.728,9
3766,F,0.846,10
3767,M,0.86,10
3768,M,0.8875,9
3769,F,0.898,9
3770,I,0.6545,9
3771,I,0.795,10
3772,M,1.0535,9
3773,F,0.927,9
3774,I,0.701,9
3775,M,0.8275,8
3776,F,0.9845,13
3777,M,0.9565,9
3778,I,0.86,9
3779,M,1.1785,10
3780,M,1.2205,10
3781,M,0.9685,10
3782,F,1.107,11
3783,I,1.1305,12
3784,M,1.2555,11
3785,M,1.177,9
3786,M,1.2425,10
3787,M,1.09,12
3788,F,1.072,8
3789,F,1.129,10
3790,F,1.2075,10
3791,F,1.227,11
3792,F,1.472,13
3793,F,1.5785,14
3794,M,1.4755,10
3795,M,1.5545,12
3796,F,1.593,11
3797,M,1.8995,13
3798,F,1.361,10
3799,F,1.4575,11
3800,M,2.381,12
3801,I,0.0495,3
3802,I,0.1455,6
3803,I,0.129,7
3804,I,0.2255,7
3805,M,0.359,9
3806,I,0.3505,8
3807,F,0.5885,8
3808,M,0.623,10
3809,F,0.5375,8
3810,I,0.5655,8
3811,M,0.8625,9
3812,F,1.137,12
3813,I,0.221,8
3814,I,0.2425,6
3815,I,0.386,8
3816,M,0.5315,8
3817,M,0.562,8
3818,M,0.836,9
3819,M,0.9275,8
3820,M,0.8815,10
3821,M,1.03,10
3822,F,1.1685,9
3823,F,1.059,9
3824,M,1.127,7
3825,M,1.1665,11
3826,F,1.541,10
3827,M,1.7825,11
3828,M,1.543,11
3829,F,1.47,12
3830,M,0.6335,14
3831,F,0.754,10
3832,F,0.4485,14
3833,M,0.8105,11
3834,M,0.22,6
3835,F,0.4425,7
3836,M,0.3555,9
3837,I,0.034,4
3838,I,0.185,8
3839,M,0.79,8
3840,F,0.8255,9
3841,M,0.62,11
3842,F,0.9525,9
3843,M,0.955,16
3844,M,0.91,14
3845,M,0.416,11
3846,I,0.2045,6
3847,M,0.515,9
3848,F,1.604,14
3849,M,0.3435,6
3850,F,0.3005,7
3851,M,0.8255,10
3852,M,0.785,12
3853,F,0.9685,9
3854,F,0.731,11
3855,M,0.4405,8
3856,I,0.1785,9
3857,M,1.373,16
3858,F,0.9765,12
3859,F,1.018,9
3860,F,1.082,14
3861,F,1.423,14
3862,M,0.655,10
3863,F,1.4155,18
3864,I,0.1385,5
3865,M,0.782,19
3866,F,0.717,10
3867,F,0.6355,15
3868,F,0.3975,8
3869,F,0.656,9
3870,M,0.744,15
3871,F,0.447,12
3872,F,0.578,9
3873,I,0.1405,5
3874,F,0.708,12
3875,M,0.1385,9
3876,M,0.8615,16
3877,F,1.626,15
3878,M,0.478,10
3879,F,1.1775,15
3880,I,0.286,7
3881,F,1.058,10
3882,F,1.5415,15
3883,M,0.817,10
3884,I,0.152,9
3885,I,0.335,7
3886,F,0.4915,7
3887,F,0.9705,9
3888,F,0.9315,12
3889,M,1.221,12
3890,M,0.7365,16
3891,F,0.97,12
3892,F,0.8085,13
3893,I,0.4075,9
3894,M,0.6295,12
3895,F,1.053,13
3896,M,1.829,14
3897,F,1.1765,17
3898,F,0.8765,10
3899,I,0.0145,4
3900,M,0.476,15
3901,F,0.813,12
3902,I,0.018,4
3903,M,1.064,16
3904,M,0.853,16
3905,M,0.219,6
3906,M,0.0635,4
3907,I,0.6275,13
3908,I,0.441,9
3909,F,0.458,10
3910,M,0.4745,13
3911,I,0.216,10
3912,I,0.6765,15
3913,I,0.757,11
3914,I,0.7325,19
3915,I,1.0285,11
3916,F,0.712,10
3917,I,1.066,13
3918,F,1.3065,18
3919,I,0.8545,11
3920,M,0.125,8
3921,M,0.2225,10
3922,I,0.6955,10
3923,M,0.266,12
3924,F,0.7105,20
3925,F,0.487,8
3926,I,0.728,14
3927,I,0.6675,12
3928,I,2.0495,10
3929,F,1.498,16
3930,F,1.597,21
3931,I,0.8605,17
3932,F,0.541,11
3933,I,0.058,6
3934,I,0.0645,5
3935,M,0.77,11
3936,F,0.541,13
3937,M,0.739,13
3938,F,0.205,10
3939,M,0.8695,14
3940,M,0.6555,11
3941,F,1.0905,15
3942,F,0.6295,11
3943,M,1.0985,14
3944,M,0.991,20
3945,I,0.0615,6
3946,M,0.8005,13
3947,M,0.6175,16
3948,F,0.772,12
3949,F,0.7155,13
3950,F,0.717,13
3951,F,0.6355,13
3952,I,0.18,5
3953,I,0.5805,8
3954,M,0.556,7
3955,I,0.591,9
3956,F,0.686,12
3957,F,1.016,10
3958,F,1.438,9
3959,F,1.807,11
3960,M,1.777,11
3961,M,2.173,10
3962,F,2.1505,10
3963,I,0.118,4
3964,I,0.099,5
3965,I,0.1365,6
3966,I,0.1295,6
3967,I,0.164,6
3968,I,0.2875,6
3969,I,0.277,6
3970,I,0.248,6
3971,I,0.252,6
3972,M,0.4015,8
3973,I,0.3905,7
3974,I,0.409,8
3975,I,0.4095,6
3976,I,0.494,7
3977,I,0.4905,7
3978,M,0.599,8
3979,M,0.6245,6
3980,F,0.7745,7
3981,M,0.9795,8
3982,I,0.8915,6
3983,F,0.874,6
3984,M,1.262,10
3985,M,1.21,11
3986,F,1.37,10
3987,F,1.759,11
3988,M,1.3855,8
3989,F,1.8065,11
3990,M,1.5945,10
3991,M,1.4545,9
3992,M,2.003,10
3993,M,2.2385,12
3994,I,0.032,4
3995,I,0.0785,5
3996,I,0.134,6
3997,I,0.2075,6
3998,I,0.2235,6
3999,I,0.34,6
4000,I,0.5365,7
4001,I,0.635,6
4002,I,0.562,8
4003,I,0.597,8
4004,M,0.5815,10
4005,F,0.7545,9
4006,M,0.98,9
4007,F,1.0035,11
4008,M,1.133,12
4009,M,1.146,8
4010,M,1.142,9
4011,M,1.12,9
4012,F,1.011,8
4013,M,1.131,8
4014,M,1.065,10
4015,M,1.181,10
4016,F,1.382,9
4017,M,1.4385,11
4018,M,1.2275,8
4019,M,1.4415,10
4020,F,1.473,11
4021,F,1.658,10
4022,M,1.7475,11
4023,I,0.096,6
4024,I,0.1445,6
4025,I,0.1965,7
4026,I,0.196,7
4027,I,0.2155,6
4028,I,0.2805,8
4029,I,0.334,7
4030,I,0.366,7
4031,I,0.4965,8
4032,I,0.651,8
4033,I,0.5125,10
4034,M,0.6925,7
4035,I,0.5995,11
4036,I,0.74,8
4037,I,0.702,10
4038,I,0.672,11
4039,I,0.811,11
4040,F,0.9585,12
4041,I,0.858,10
4042,F,0.9575,10
4043,F,0.926,8
4044,F,0.873,10
4045,M,0.998,9
4046,M,0.6655,11
4047,M,1.003,11
4048,F,1.234,13
4049,M,1.025,9
4050,M,1.2935,9
4051,M,1.0565,10
4052,M,1.7855,13
4053,F,1.2255,10
4054,F,1.2565,10
4055,F,1.159,9
4056,M,1.403,11
4057,F,1.826,11
4058,F,1.7715,10
4059,M,0.6125,8
4060,I,0.658,8
4061,M,0.911,10
4062,M,1.1955,9
4063,F,1.336,11
4064,F,1.36,9
4065,I,0.2325,6
4066,I,0.317,7
4067,I,0.318,6
4068,I,0.2645,7
4069,I,0.4055,8
4070,I,0.524,7
4071,I,0.464,8
4072,I,0.439,8
4073,I,0.5805,9
4074,I,0.622,8
4075,M,0.7805,8
4076,I,0.772,8
4077,I,0.741,9
4078,M,0.8265,10
4079,M,0.7275,8
4080,I,0.7005,8
4081,M,0.9355,11
4082,I,1.1815,9
4083,M,1.0145,10
4084,F,1.1,10
4085,M,1.218,11
4086,M,0.874,8
4087,I,0.984,10
4088,M,1.0105,9
4089,M,1.0765,9
4090,M,1.337,11
4091,M,1.3705,12
4092,F,1.7015,11
4093,M,1.2435,11
4094,M,1.4135,13
4095,F,1.073,11
4096,F,1.477,12
4097,M,1.2915,9
4098,F,1.3105,9
4099,M,1.4915,9
4100,F,1.494,9
4101,F,1.1965,11
4102,M,1.672,11
4103,M,1.9125,10
4104,F,1.907,11
4105,F,1.79,9
4106,F,1.7495,11
4107,I,0.3415,7
4108,I,0.519,7
4109,M,0.5305,8
4110,M,1.2825,9
4111,I,0.7165,8
4112,F,1.6645,9
4113,I,0.837,8
4114,F,0.9645,9
4115,F,1.1,10
4116,M,1.2415,9
4117,F,1.3185,9
4118,M,1.3455,9
4119,I,0.1185,4
4120,M,0.197,7
4121,I,0.4725,9
4122,I,0.4495,8
4123,I,0.557,8
4124,I,0.516,8
4125,I,0.709,9
4126,M,0.7385,11
4127,I,0.7935,10
4128,M,0.9205,8
4129,I,0.7655,10
4130,M,0.824,10
4131,I,0.83,11
4132,I,0.985,10
4133,M,0.997,11
4134,F,0.914,9
4135,F,1.13,11
4136,F,1.0805,9
4137,M,1.105,11
4138,M,1.229,11
4139,F,1.2355,10
4140,F,1.2395,10
4141,F,1.357,11
4142,M,1.402,13
4143,F,1.359,13
4144,M,1.669,11
4145,M,1.7405,11
4146,M,1.51,10
4147,M,1.6645,11
4148,M,2.0505,11
4149,I,0.124,6
4150,I,0.14,7
4151,I,0.1695,6
4152,I,0.218,7
4153,I,0.384,8
4154,I,0.393,6
4155,I,0.3805,6
4156,M,0.4895,8
4157,M,0.5135,8
4158,I,0.4495,8
4159,F,0.8025,9
4160,F,1.053,11
4161,F,0.9945,11
4162,M,0.3175,8
4163,I,0.344,7
4164,I,0.2845,7
4165,I,0.3035,7
4166,I,0.499,10
4167,M,0.577,9
4168,F,0.615,8
4169,M,0.791,10
4170,M,0.8395,10
4171,M,0.8675,8
4172,F,0.887,11
4173,M,0.966,10
4174,M,1.176,9
4175,F,1.0945,10
4176,M,1.9485,12
